Designator,Footprint,Quantity,Value,LCSC Part #
B+,TestPoint_Pad_D2.0mm,1,B+,
B-,TestPoint_Pad_D2.0mm,1,B-,
"C1, C2, C3, C4",0603,4,0.01uF,
"C5, C6",0603,2,12uF,
"D1, D2, D3, D4",D_SOD-323,4,1N4148WS,
D10,D_SMA,1,SS14,
"D5, D6, D7",0805,3,LED,
L1,1206,1,22uH,
"M1, M2, M3, M4",SOT23_1_,4,SI2300,
M1+,TestPoint_Pad_D2.0mm,1,m1-,
M1-,TestPoint_Pad_D2.0mm,1,m1+,
M2+,TestPoint_Pad_D2.0mm,1,m2+,
M2-,TestPoint_Pad_D2.0mm,1,m2-,
M3+,TestPoint_Pad_D2.0mm,1,m3+,
M3-,TestPoint_Pad_D2.0mm,1,m3-,
M4+,TestPoint_Pad_D2.0mm,1,m4-,
M4-,TestPoint_Pad_D2.0mm,1,m4+,
PS1,CONV_ME2108A33P,1,ME2108A33P,
"R1, R2, R3, R4",0603,4,1k,
"R10, R5, R6, R7, R8",0603,5,10k,
"R11, R12, R9",0603,3,150,
U10,XIAO-ESP32-S3-SMD_PAD,1,XIAO-ESP32-S3-SMD,
U11,XR2 NANO,1,~,
U3,QFN50P400X400X95-24N,1,MPU-6050,
