Designator,Mid X,Mid Y,Rotation,Layer
C1,134.0,-56.2925,270.0,top
C2,137.3,-47.33,90.0,top
C3,135.6,-56.3,270.0,top
C4,137.6,-51.2,90.0,bottom
C5,122.5,-48.0,90.0,top
C6,120.9,-48.0,90.0,top
D1,119.1,-43.5,180.0,top
D10,126.8,-48.1,0.0,top
D2,136.4,-43.7,180.0,top
D3,126.7,-56.75,270.0,top
D4,131.4,-55.4,270.0,top
D5,128.9,-55.175,270.0,top
D6,137.7,-43.4,90.0,bottom
D7,137.7,-58.9,270.0,bottom
L1,126.6,-52.4,270.0,top
M1,122.5,-43.2,90.0,top
M2,132.8,-43.7,270.0,top
M3,124.0,-58.45,270.0,top
M4,130.5,-59.0,270.0,top
PS1,122.8,-52.9,90.0,top
R1,127.1,-43.1,270.0,top
R10,121.4,-40.0,0.0,bottom
R11,137.6,-47.0,270.0,bottom
R12,137.5,-55.2,90.0,bottom
R2,130.1,-43.7,90.0,top
R3,119.6,-58.4875,90.0,top
R4,127.9,-60.2,90.0,top
R5,137.2,-56.3,90.0,top
R6,135.7,-47.33,270.0,top
R7,134.1,-47.33,270.0,top
R8,124.9,-40.0,0.0,bottom
R9,131.0,-51.7875,270.0,top
U10,126.092,-50.9975,270.0,bottom
U11,123.8,-50.7,90.0,top
U3,135.3,-51.8,0.0,top
